CustomerID,FirstName,LastName,DOB,CustomerAccountNumber,CustomerType,CreditScore,AnnualIncome,Occupation
1629,Jessica,Carter,02-12-1963,16229481,Business,643,90529,Salaried
1630,Amanda,Olsen,16-08-1993,16230475,Individual,779,218015,Retired
1631,Christopher,Cooper,13-10-1974,16231220,Business,353,89881,Retired
1638,Jason,Valentine,11-08-1991,16409970,Business,370,475701,Unemployed
1640,Martin,Johnson,14-04-1967,16432263,Business,367,71368,Retired
1651,Michelle,Andrews,17-07-1970,16450225,Business,643,392354,Salaried
1656,Holly,Turner,13-09-1964,16472544,Individual,781,451251,Self-Employed
1661,Rachel,Matthews,15-03-1996,16524247,Business,576,97045,Unemployed
1669,Andrew,Blackburn,03-06-1978,16570619,Individual,624,365665,Salaried
1705,Brandon,Morris,04-01-1977,17067675,Business,402,370921,Unemployed
1708,Gina,Sherman,22-09-1975,17096276,Business,532,464552,Unemployed
1710,Sandra,Johnson,13-09-1981,17169970,Business,441,142175,Salaried
1727,Kimberly,Wright,05-01-1962,17200455,Individual,519,119042,Unemployed
1744,Jennifer,Proctor,03-09-1990,17203266,Individual,674,422980,Unemployed
1747,Roger,Garza,06-07-1980,17218512,Individual,353,85192,Salaried
1750,Spencer,Chung,04-08-1991,17596334,Business,527,364114,Unemployed
1765,Jessica,Prince,19-02-2001,17605519,Individual,618,198911,Self-Employed
1774,Richard,Morris,18-08-1962,17626061,Individual,769,423052,Unemployed
1780,Brooke,Brandt,22-02-2005,17652163,Individual,479,456174,Unemployed
1782,Jason,Nguyen,04-01-1976,17671858,Individual,840,138399,Self-Employed
1788,Michelle,Fuentes,05-05-1984,17850353,Business,347,426148,Retired
1792,James,Stafford,07-09-1969,17876259,Individual,840,348411,Self-Employed
1795,Tammy,Owens,06-06-1965,17890314,Individual,768,163666,Salaried
1808,Andres,Sullivan,10-10-1970,18215004,Individual,624,228465,Unemployed
1824,Brenda,Thomas,12-09-2003,18314171,Individual,348,98495,Unemployed
1832,Kelsey,Brooks,24-01-1967,18386188,Individual,722,54772,Self-Employed
1835,Shannon,Jensen,17-07-1962,18401342,Business,651,284021,Unemployed
1843,Autumn,Baker,29-11-1995,18428148,Business,768,207758,Self-Employed
1869,Matthew,Townsend,06-11-1980,18678230,Individual,660,429201,Retired
1881,Kerri,Stone,11-10-1976,18896589,Individual,378,326399,Self-Employed
1892,Robert,Werner,09-10-2005,18976593,Individual,733,148577,Retired
1909,Elizabeth,Hill,30-04-1965,19011856,Individual,714,298442,Self-Employed
1912,Ashlee,May,01-04-1967,19182316,Business,624,302865,Unemployed
1925,Patrick,Crawford,28-07-1970,19213212,Individual,510,163934,Retired
1926,Cassandra,Gates,25-03-1979,19213734,Business,469,361136,Retired
1930,Cynthia,Castro,13-09-2005,19358752,Individual,526,481342,Salaried
1937,Robin,Phelps,26-12-1986,19398971,Business,776,117974,Self-Employed
1943,Peter,Chan,20-01-1969,19405769,Business,813,295317,Self-Employed
1957,Christina,Clark,17-10-1970,19574538,Individual,460,450300,Unemployed
1970,Bradley,Christian,29-06-1959,19760510,Individual,301,86519,Unemployed
1971,Lori,Gonzalez,04-01-2002,19783931,Individual,390,322495,Salaried
1972,Jeremy,Kim,13-11-1978,19797079,Business,481,290395,Unemployed
1980,Jose,Valdez,30-04-1990,19837032,Business,596,370374,Unemployed
2006,Mary,Dunn,24-03-1959,20067840,Business,411,75205,Self-Employed
2010,Jordan,Davidson,04-09-1991,20102295,Business,670,352057,Salaried
2012,Sara,Davis,19-07-1961,20104361,Business,441,42658,Unemployed
2014,April,Coleman,31-12-1998,20112592,Business,594,148792,Self-Employed
2021,Joy,Wilson,19-09-1972,20202362,Business,312,380127,Retired
2033,Amy,Cruz,12-08-1958,20236711,Business,410,171967,Self-Employed
2046,Brenda,Webb,14-02-1962,20242039,Business,649,286681,Unemployed
2050,Ryan,Lynch,03-04-1962,20248868,Individual,363,205284,Salaried
2069,Sarah,Zimmerman,16-09-1969,20273481,Individual,306,415890,Retired
2101,Michael,Peterson,20-05-1996,21677833,Business,534,256917,Salaried
2105,Pamela,Bishop,13-10-1984,21690100,Individual,324,429493,Salaried
2106,Linda,Andrews,22-01-1992,21691385,Business,414,324336,Unemployed
2119,Pamela,Castro,22-06-1962,21694111,Business,761,481746,Salaried
2151,Melanie,Norton,04-05-1976,21702378,Business,464,87720,Salaried
2155,Alyssa,Martin,29-12-1984,21702433,Business,520,380451,Self-Employed
2178,Yolanda,Lopez,23-07-1958,21749199,Business,720,280234,Retired
2182,Courtney,Burns,21-03-1977,21760471,Individual,742,424569,Self-Employed
2184,Rita,Kennedy,06-03-1997,21774497,Business,309,415769,Retired
2185,Stacey,Doyle,06-06-1996,21803296,Business,616,287871,Salaried
2186,Heidi,Moreno,22-02-1980,21826271,Individual,649,106677,Self-Employed
2193,Mark,Baker,26-01-1987,21863001,Business,588,487658,Salaried
2197,Jeffrey,Perry,29-12-1970,21872853,Individual,482,100967,Retired
2203,Destiny,Caldwell,13-11-2001,22838644,Individual,605,296518,Unemployed
2204,Amanda,Poole,12-02-1958,22855332,Individual,843,61750,Self-Employed
2206,Steven,Morgan,21-11-1987,22878701,Business,651,216463,Self-Employed
2225,Robert,Mcgee,14-11-1978,22881476,Business,331,40337,Unemployed
2235,Timothy,Murray,20-12-1983,22897516,Business,796,49437,Self-Employed
2240,Edward,Singh,10-01-2006,22901181,Individual,844,36352,Salaried
2256,John,Wiggins,11-07-1989,22933377,Business,594,404949,Salaried
2260,Troy,Duke,18-10-1962,22937099,Individual,434,214454,Retired
2274,Dennis,Bennett,04-04-1972,22956718,Individual,698,371203,Self-Employed
2283,Elaine,Maxwell,13-09-1997,22989735,Business,428,439741,Self-Employed
2314,John,Peters,19-12-1995,23566103,Business,363,287434,Salaried
2323,Christopher,Berry,08-10-1980,23591154,Business,561,201230,Self-Employed
2346,Patricia,Meyer,20-04-1964,23610100,Business,366,246673,Unemployed
2353,Jesse,Mathis,29-06-1995,23611269,Individual,404,408469,Salaried
2355,Christopher,Perez,10-02-1984,23626745,Business,653,485717,Retired
2362,Fernando,Simmons,19-03-1984,23630720,Individual,414,109881,Unemployed
2385,Alejandra,Rodriguez,06-07-1998,23635217,Business,600,95491,Retired
2403,John,King,04-11-1996,24385841,Business,329,413468,Unemployed
2426,Breanna,Smith,28-08-1956,24412290,Individual,756,397527,Retired
2431,Andrew,Maddox,16-01-2003,24466179,Individual,835,374163,Unemployed
2433,Dwayne,Clark,17-07-1999,24469628,Individual,512,349514,Retired
2437,Michele,Lewis,12-01-1984,24479716,Business,703,125949,Salaried
2441,Nathan,Warren,30-01-1976,24584120,Individual,571,155986,Unemployed
2445,Walter,Wilson,13-09-2002,24592917,Individual,771,136763,Self-Employed
2454,Julia,Jones,18-11-1994,24610015,Business,746,161382,Self-Employed
2458,Kenneth,Mejia,18-11-1961,24650815,Individual,341,410613,Unemployed
2467,Jeanne,Schwartz,03-06-2004,24682341,Individual,548,131398,Unemployed
2474,Ryan,Miller,17-09-1975,24691650,Business,677,298372,Self-Employed
2479,Lisa,Hernandez,29-04-2001,24701600,Business,526,314612,Self-Employed
2490,Joshua,Woods,27-12-1972,24724522,Business,737,367640,Unemployed
2523,Jamie,Long,15-03-1983,25473711,Individual,699,36921,Unemployed
2543,Clinton,Leach,20-05-1977,25494104,Business,456,484349,Salaried
2547,Sonia,Robinson,01-12-1990,25523106,Business,689,332876,Salaried
2552,Benjamin,Dickson,26-03-1979,25527671,Business,813,136886,Unemployed
2554,Kaitlyn,Beard,02-03-1964,25577207,Business,689,358756,Salaried
2562,Elizabeth,Lewis,07-05-1959,25595477,Business,519,480180,Retired
2566,Michael,Fox,07-09-1979,25610085,Individual,391,274950,Self-Employed
2570,Edward,Walton,02-11-1999,25615418,Individual,381,186712,Retired
2572,Julie,Herrera,14-09-1988,25656264,Individual,363,312960,Salaried
2575,Michael,Rush,25-11-1970,25673469,Business,479,179580,Salaried
2589,Scott,Bradshaw,15-04-1983,25673796,Business,435,154236,Unemployed
2592,Nathan,Fernandez,08-08-1996,25680543,Business,396,325877,Unemployed
2622,William,Thomas,06-09-1959,26789758,Business,532,341499,Unemployed
2627,Andrew,Flores,06-04-2001,26821412,Individual,642,123167,Salaried
2634,Darius,Austin,06-01-1958,26828265,Business,368,299494,Self-Employed
2639,Tammy,Andersen,26-02-1961,26836089,Individual,515,140776,Retired
2693,Lori,Cook,30-04-1971,26851582,Business,717,358719,Salaried
2698,Richard,Berry,18-07-1995,26864487,Business,641,145052,Retired
2699,Raymond,Watts,25-07-1970,26865926,Individual,592,311680,Unemployed
2702,Jennifer,Schmidt,11-05-1995,27704886,Business,443,456810,Unemployed
2706,Amanda,Garrison,30-03-1973,27719312,Business,595,232045,Retired
2720,Tracy,Stout,06-05-2001,27724374,Business,363,105266,Retired
2741,Jared,Leonard,13-04-1967,27751999,Business,588,216721,Self-Employed
2745,Amy,Jones,11-12-1959,27770796,Business,737,467385,Retired
2749,James,Shaffer,15-12-1996,27774682,Individual,693,457463,Retired
2751,Julie,Freeman,12-08-2002,27775673,Individual,310,67857,Salaried
2753,Angela,Mcintyre,03-06-1974,27883205,Individual,812,71813,Retired
2756,Michael,Martin,05-09-1980,27913889,Business,730,54802,Unemployed
2760,Marcia,Garcia,24-04-1959,27914921,Business,510,45422,Self-Employed
2783,Debra,Blevins,11-10-1985,27926819,Individual,836,330999,Salaried
2817,Daniel,Foster,02-08-2004,28771812,Individual,438,185142,Retired
2819,Ashley,Hudson,25-09-1970,28782845,Business,367,84533,Salaried
2823,Stephanie,Brown,20-10-1969,28828124,Individual,824,263505,Salaried
2824,Kenneth,Dominguez,27-05-1969,28889590,Individual,658,463474,Self-Employed
2828,Chad,Morse,18-02-1955,28907022,Business,380,348178,Self-Employed
2842,Benjamin,Ellis,16-07-1973,28912533,Business,589,219915,Self-Employed
2843,Paula,Lang,12-05-1957,28944305,Business,345,447854,Retired
2852,Jose,Bautista,25-08-1975,28971196,Business,548,483641,Retired
2859,Tina,Salazar,30-07-1978,28983103,Business,666,430229,Salaried
2888,Tyler,Adkins,07-06-1992,28987151,Business,687,173501,Unemployed
2893,Sherri,Richards,23-09-1956,28994710,Business,677,288048,Unemployed
2924,Emily,Lopez,29-01-1968,29371183,Business,427,423776,Salaried
2939,Linda,Duncan,17-04-2000,29373250,Business,522,479782,Salaried
2950,Allen,Thomas,06-03-1985,29386792,Business,385,163949,Retired
2969,Stephen,Booth,19-03-1964,29421271,Individual,845,165877,Unemployed
2970,Veronica,Wright,05-10-1988,29425562,Business,443,331128,Self-Employed
2986,David,Blake,18-06-1985,29433419,Business,387,181191,Retired
2988,James,Hall,10-10-2000,29438830,Business,370,387337,Salaried
2999,Kristina,Parker,02-11-1999,29481516,Individual,432,222658,Retired
3011,Charles,Parker,20-06-2004,30487363,Business,359,82994,Unemployed
3026,Michelle,Myers,23-06-1963,30503941,Individual,510,475691,Unemployed
3031,Mariah,Lopez,01-06-2003,30531509,Individual,492,141649,Self-Employed
3041,Wendy,Joseph,22-05-1957,30534055,Individual,649,257323,Salaried
3042,Charles,Finley,24-06-1974,30577994,Individual,541,141052,Unemployed
3049,Mary,Hill,09-05-2003,30578989,Individual,731,127092,Unemployed
3053,Judith,Arias,27-12-1991,30592253,Individual,356,470118,Self-Employed
3069,Christine,Sosa,01-12-2004,30603533,Business,371,452675,Unemployed
3072,Jacob,Harris,26-06-1978,30617314,Individual,489,77820,Retired
3082,Amy,Clements,24-01-1974,30623050,Business,659,306353,Salaried
3090,Nathaniel,Garcia,22-04-2003,30658585,Business,624,129015,Self-Employed
3109,Tara,Ryan,30-03-1986,31648467,Individual,718,460839,Salaried
3117,Veronica,Osborn,03-03-1969,31660837,Individual,391,488261,Retired
3118,Mark,Murphy,14-02-2005,31677773,Individual,692,271509,Salaried
3120,Katelyn,Larsen,27-09-1971,31701972,Business,789,482285,Self-Employed
3121,John,Jimenez,28-07-1997,31721638,Individual,550,97695,Self-Employed
3124,Dawn,Arroyo,15-07-1996,31729732,Business,687,177157,Retired
3140,Monica,Bean,01-04-1982,31741531,Business,651,74647,Salaried
3149,Michael,Fleming,13-11-1963,31742665,Individual,823,423452,Unemployed
3153,Gregory,Smith,20-02-1964,31742956,Individual,642,99016,Unemployed
3154,Rachel,Lutz,15-10-1965,31757048,Business,685,306639,Salaried
3159,Alex,Taylor,17-09-1982,31770277,Business,358,400455,Retired
3163,Marie,Wade,03-08-1968,31770432,Business,714,250805,Unemployed
3165,Hannah,Jimenez,24-03-1957,31779411,Individual,659,63561,Self-Employed
3177,Angela,Phillips,26-12-1967,31784381,Individual,367,385328,Self-Employed
3178,Shawn,Clark,12-06-1995,31797774,Business,444,222501,Salaried
3179,Tiffany,Griffin,17-09-1993,31811407,Individual,660,401524,Salaried
3185,Andrew,Gutierrez,07-01-1969,31927086,Business,813,111774,Unemployed
3202,Bruce,Gilbert,19-06-1957,32794897,Business,423,321377,Self-Employed
3203,Louis,Porter,16-08-1957,32837888,Business,602,430204,Self-Employed
3210,Daniel,Smith,09-07-1978,32844016,Business,327,429352,Salaried
3218,Tina,Fowler,01-01-1979,32849351,Individual,380,346919,Retired
3220,Jacob,Singh,25-04-2006,32858779,Individual,526,289094,Unemployed
3221,Christopher,Hill,13-10-1979,32868779,Individual,508,471506,Self-Employed
3227,Alexis,Evans,10-06-1963,32883633,Individual,831,96894,Self-Employed
3229,Jon,Douglas,16-08-1971,32901211,Individual,409,45212,Salaried
3233,Patrick,Lucero,30-08-1976,32910504,Business,346,150804,Unemployed
3237,Ryan,Walker,04-04-1958,32913980,Business,471,329908,Unemployed
3239,Alexandra,Allen,09-06-1960,32914929,Individual,636,326772,Self-Employed
3260,Christopher,Andrews,26-04-1958,32926391,Business,705,258854,Self-Employed
3273,Mary,Dunlap,19-04-1988,32937991,Individual,322,146645,Self-Employed
3274,Reginald,Smith,22-04-1958,32939969,Individual,780,93989,Retired
3290,Maria,Gonzalez,27-10-1985,32940063,Individual,765,452684,Self-Employed
3318,Michael,Gibbs,01-04-1982,33205311,Business,770,443069,Retired
3335,Kelly,Wood,16-07-1980,33205676,Individual,835,242349,Self-Employed
3339,Hannah,Gilmore,31-05-1954,33213842,Business,769,48854,Self-Employed
3356,Benjamin,Hernandez,17-11-1981,33225244,Individual,699,463171,Retired
3364,Megan,Stanley,11-01-2003,33237546,Business,559,312295,Salaried
3366,Justin,Bradley,09-03-1995,33261698,Business,385,166641,Retired
3367,Dominique,Chung,04-02-1958,33264910,Individual,801,384515,Unemployed
3370,Nicole,Jimenez,11-09-1998,33267008,Individual,831,170892,Self-Employed
3390,Denise,Smith,05-05-1978,33281964,Individual,839,211874,Retired
3409,Joseph,Bowman,09-09-1998,34880515,Business,627,236566,Unemployed
3422,Stacie,Gill,15-08-1963,34900364,Business,455,303540,Unemployed
3423,Melissa,Johnson,24-08-1964,34915893,Business,385,175133,Salaried
3434,Thomas,Holland,04-09-1978,34925895,Individual,329,292489,Unemployed
3457,Catherine,Wright,06-05-1979,34955973,Individual,504,261055,Salaried
3479,Jessica,Torres,08-09-1965,34956094,Individual,698,290291,Self-Employed
3513,Matthew,Brown,09-12-1964,35749946,Business,699,320835,Unemployed
3523,Kevin,Marsh,03-01-1963,35783955,Individual,668,306378,Retired
3528,April,Morris,25-06-1982,35817805,Business,762,401997,Salaried
3537,Crystal,Eaton,27-07-1962,35826028,Individual,442,383515,Unemployed
3556,Heather,Gonzalez,08-06-1984,35827317,Business,644,270698,Self-Employed
3564,Roberto,Carroll,08-08-1970,35857500,Individual,421,486978,Unemployed
3566,Darrell,Hines,04-02-1980,35865956,Individual,575,469763,Salaried
3575,Teresa,Ramos,02-11-1989,35870212,Individual,519,424968,Unemployed
3592,Cassandra,Pollard,11-12-1957,35904207,Business,736,193116,Retired
3593,Jessica,Ellis,19-11-2001,35945352,Individual,532,437734,Retired
3598,Amy,Jenkins,03-06-1972,35956606,Business,836,333930,Self-Employed
3614,Crystal,Lewis,09-06-1972,36590626,Individual,370,82892,Unemployed
3625,Anna,Hayes,06-11-1984,36605629,Business,822,368461,Self-Employed
3645,Amy,Camacho,06-12-1964,36611921,Business,833,276170,Self-Employed
3650,Antonio,Padilla,08-06-2005,36613296,Business,328,389446,Retired
3659,Raymond,Long,21-07-1956,36636781,Individual,688,96015,Unemployed
3672,Kathryn,Hernandez,08-05-1968,36705345,Individual,399,181782,Salaried
3678,Joshua,Price,21-02-1996,36731136,Individual,376,228306,Self-Employed
3685,Willie,Brandt,23-02-2003,36733466,Business,693,98142,Salaried
3690,Collin,Blake,22-07-1955,36749842,Individual,716,286656,Salaried
3703,David,Combs,27-04-1987,37587974,Individual,717,328957,Self-Employed
3715,Alexander,Ellis,17-12-1974,37593285,Business,469,256938,Retired
3718,Carlos,Harding,25-01-1965,37600745,Individual,402,175891,Salaried
3720,William,Jones,03-04-1974,37633907,Individual,780,128154,Retired
3721,Gina,Wiggins,17-02-1955,37639825,Individual,401,117459,Unemployed
3724,Ashley,Lindsey,09-10-2005,37653284,Individual,824,379911,Self-Employed
3734,Zachary,Fuller,27-09-2001,37663707,Business,765,427921,Self-Employed
3738,Vincent,Mcfarland,10-09-1956,37681339,Business,822,99774,Salaried
3741,Lori,Stewart,31-12-1978,37681981,Business,563,342852,Retired
3756,Katherine,Perez,11-07-1993,37683464,Business,508,204751,Salaried
3760,Arthur,Moran,01-02-1987,37687771,Individual,739,339519,Salaried
3778,Heidi,Valentine,11-09-1975,37698521,Business,311,220281,Unemployed
3791,Andrew,Trujillo,09-03-2002,37719615,Business,412,32584,Salaried
3797,Alexander,Dillon,18-06-1985,37727245,Business,498,466495,Retired
3808,Gary,Vasquez,16-09-1985,38078761,Individual,575,411756,Unemployed
3822,David,Hill,09-12-1995,38115244,Business,395,257810,Salaried
3825,William,Mcdonald,19-04-1954,38161588,Business,320,31936,Salaried
3831,Amanda,Byrd,17-01-2001,38166476,Business,460,348369,Self-Employed
3843,Cynthia,Garcia,30-03-1973,38170117,Individual,677,337764,Unemployed
3861,Michael,Garcia,11-01-1955,38172320,Business,613,243690,Unemployed
3867,John,Nelson,20-10-1963,38174991,Individual,350,363223,Unemployed
3870,Thomas,Garcia,09-11-1998,38193492,Business,630,466055,Self-Employed
3878,John,Garcia,15-06-2003,38267512,Individual,839,377951,Salaried
3883,Michele,Reynolds,26-04-1968,38318644,Business,394,196281,Salaried
3887,Teresa,Holt,02-11-1977,38328468,Business,647,333972,Self-Employed
3894,Sharon,Robinson,05-06-1960,38356720,Business,791,197714,Self-Employed
3910,Christopher,Mack,31-01-1954,39832464,Individual,523,165278,Salaried
3911,Samuel,Craig,14-09-2001,39835580,Business,695,258460,Unemployed
3924,Andre,Scott,02-02-1980,39856021,Individual,737,88611,Salaried
3934,Cynthia,Hudson,04-04-1996,39862398,Individual,331,265416,Salaried
3954,Teresa,Dunlap,28-02-1999,39872087,Business,310,209623,Self-Employed
3986,Joanna,Garcia,04-08-1988,39895678,Individual,617,340949,Salaried
4011,Julia,Mccarthy,15-05-1964,40686623,Business,437,361346,Self-Employed
4026,Diana,Castaneda,27-06-1964,40687335,Individual,693,244280,Unemployed
4027,Kevin,Bailey,02-01-1973,40746598,Business,497,224859,Salaried
4038,Dawn,Pugh,28-03-1959,40751318,Individual,795,198548,Salaried
4039,Timothy,Goodman,21-12-1971,40767884,Individual,696,276867,Salaried
4041,Jacqueline,Haley,06-11-1982,40832741,Business,470,477364,Salaried
4063,Susan,Mann,02-07-1956,40853990,Individual,734,190898,Salaried
4069,Laura,Santana,14-11-2003,40858901,Individual,678,113767,Self-Employed
4082,Edwin,Sanchez,06-10-1990,40906544,Individual,567,447530,Retired
4083,Jason,Davis,19-07-1999,40913171,Individual,459,392889,Self-Employed
4085,Breanna,Galloway,19-11-1965,40931982,Business,720,222537,Retired
4088,Edward,Reyes,08-01-1976,40936036,Individual,757,482218,Retired
4093,Destiny,Thompson,29-11-1959,40966885,Business,574,145895,Unemployed
4094,Lisa,Huang,24-03-1986,40978675,Business,771,58228,Self-Employed
4095,Lori,Bautista,14-06-1963,40981524,Individual,527,265750,Retired
4098,Darren,Carroll,26-03-1982,40994389,Individual,792,387072,Unemployed
4102,Nathan,Carson,07-12-1957,41524851,Business,378,223616,Retired
4103,Cody,Tyler,12-05-1975,41533557,Business,686,332087,Retired
4134,Roberta,Sims,18-02-1966,41539529,Individual,438,144972,Self-Employed
4174,Tracy,Garcia,06-09-2005,41554178,Business,760,72320,Salaried
4183,Melissa,Thomas,21-02-1974,41580556,Business,609,472499,Unemployed
4201,Cassidy,Gomez,30-09-1981,42840194,Business,703,95758,Retired
4202,Alexandra,Whitaker,18-05-1958,42867023,Individual,405,356989,Unemployed
4210,Craig,Wright,13-08-1964,42875807,Business,318,388520,Unemployed
4220,Dana,Weeks,06-06-1981,42892474,Business,648,451547,Self-Employed
4222,Tammy,Lopez,17-03-1983,42929786,Business,680,72471,Retired
4225,Matthew,Kaiser,23-03-1956,42931346,Business,372,389252,Self-Employed
4237,Roberta,Simpson,04-03-1994,42953482,Individual,838,319739,Unemployed
4239,Paul,Lynch,01-06-1997,42964310,Individual,606,257002,Retired
4249,Michelle,Macias,29-05-1968,42965259,Business,806,373036,Salaried
4271,Frederick,Ortega,29-06-1963,42970199,Individual,793,310701,Retired
4273,Benjamin,Morse,26-02-1975,42975131,Individual,807,276989,Self-Employed
4277,Cody,Clay,15-11-2004,42985575,Individual,623,60612,Salaried
4300,Bonnie,Harper,07-10-1997,43605818,Business,506,429387,Self-Employed
4317,Larry,Carter,04-04-1996,43644582,Business,304,107396,Salaried
4332,James,Green,05-04-1974,43689704,Individual,376,314266,Salaried
4337,Steven,Moore,02-04-1980,43697896,Business,361,198589,Unemployed
4338,Karen,Bauer,14-09-1981,43730822,Business,351,443219,Self-Employed
4366,Luis,Ritter,16-05-2000,43732173,Business,355,320569,Self-Employed
4369,Debra,Clements,12-12-1955,43745968,Individual,591,408326,Retired
4377,Timothy,Rose,22-01-1982,43798594,Business,711,211804,Unemployed
4380,Michael,Smith,23-12-1954,43806025,Business,693,426982,Self-Employed
4389,Lindsey,Murphy,16-11-1965,43816429,Individual,627,83072,Self-Employed
4400,Kimberly,Garcia,04-06-1955,44839791,Business,694,263078,Retired
4407,Gregory,Shepard,18-04-1969,44840452,Business,655,366890,Retired
4412,Stephen,Gonzales,21-03-2000,44842564,Individual,576,222675,Retired
4414,Jeremy,Heath,26-08-2001,44852366,Individual,683,251987,Salaried
4422,Stephen,Martinez,02-08-1954,44852582,Individual,328,152569,Unemployed
4428,Cassidy,Miller,20-03-1961,44857450,Individual,602,367722,Salaried
4454,Jennifer,West,13-01-1968,44864610,Business,316,43768,Self-Employed
4457,Jennifer,Camacho,29-05-1966,44866307,Business,535,68302,Salaried
4469,Charles,Rowe,24-08-1997,44890901,Individual,419,116243,Salaried
4471,Darren,Martinez,12-07-1987,44911314,Individual,509,244537,Self-Employed
4475,Wyatt,Wilkins,27-01-1964,44913752,Individual,646,351859,Salaried
4476,Jessica,Simpson,04-12-1971,44957021,Individual,548,485382,Salaried
4485,Michelle,Miller,12-06-1988,44986948,Individual,736,495089,Unemployed
4495,Lynn,Payne,11-06-1967,44996204,Individual,497,31547,Salaried
4512,Cynthia,Kirk,21-02-2003,45844090,Business,479,466118,Retired
4523,Joseph,Alvarez,12-06-1989,45846358,Business,422,272997,Self-Employed
