DepositID,AccountNumber,DepositAmount,DepositType,BranchID,DepositTerm,InterestRate,MaturityDate
135,47058987,820479,Recurring Deposit,10,12,5.6,2023-03-04
136,54519864,111831,Fixed Deposit,10,12,3.34,2022-08-22
137,51740604,670222,Current Account,6,36,4.25,2024-10-27
138,17169970,549001,Recurring Deposit,6,6,3.08,2024-02-14
139,98228900,721552,Recurring Deposit,9,12,6.06,
140,22881476,151683,Current Account,4,12,2.71,2021-06-25
141,78976320,252278,Savings Account,2,36,7.26,2021-02-23
142,28535751,168654,Current Account,2,36,3.65,
143,32564866,501605,Current Account,1,6,4.87,
144,73991263,452229,Savings Account,6,24,3.2,
145,31812203,354589,Recurring Deposit,5,6,3.31,2020-06-05
146,10163632,139082,Recurring Deposit,7,36,2.65,2022-03-08
147,17244313,317858,Recurring Deposit,1,12,6.54,2021-07-31
148,33841398,106265,Savings Account,10,36,5.13,2024-06-17
149,83980790,938757,Recurring Deposit,2,12,7.25,
150,38689232,266217,Fixed Deposit,10,24,3.59,
151,92549527,140225,Current Account,2,6,4.71,
152,49533233,147457,Savings Account,4,6,3.68,2023-04-17
153,82028558,408376,Fixed Deposit,4,12,6.42,2021-07-27
154,27107502,320609,Current Account,2,,5.03,2021-05-30
155,93922594,119603,Current Account,2,,3.06,2023-06-30
156,40687335,87141,Current Account,4,36,2.94,
157,28155669,591612,Fixed Deposit,1,6,5.09,
158,98917279,27527,Fixed Deposit,3,6,6.34,
159,30869120,788625,Recurring Deposit,2,24,3.27,2024-10-17
160,17940265,372580,Current Account,3,,4.95,
161,43817770,349350,Current Account,2,36,6.53,2021-02-04
162,21902499,520015,Current Account,7,24,6.6,
163,47235260,708183,Savings Account,1,6,3.96,2020-02-04
164,47412468,685298,Fixed Deposit,8,,4.9,2023-04-07
165,75400901,192614,Recurring Deposit,9,24,6.93,
166,47414684,146342,Current Account,7,36,4.06,
167,97890289,868023,Recurring Deposit,6,,6.57,2023-07-19
168,38376649,130981,Recurring Deposit,5,24,2.95,2023-05-22
169,27673668,290054,Recurring Deposit,10,24,7.08,
170,80450969,253324,Fixed Deposit,3,24,6.89,
171,24724522,502223,Savings Account,6,,6.64,2020-08-13
172,18863603,769984,Savings Account,3,,4.74,2023-11-10
173,66567427,750407,Current Account,8,,5.75,
174,58305167,425346,Current Account,3,24,5.92,
175,87480448,61215,Savings Account,1,,3.61,
176,90858593,849139,Savings Account,2,6,5.9,
177,36344669,190471,Current Account,4,6,5.86,
178,11370078,343525,Fixed Deposit,6,12,4.28,
179,26982970,917883,Fixed Deposit,3,12,3.99,2023-06-22
180,94195153,123750,Fixed Deposit,2,6,3.33,2021-07-03
181,11750973,919821,Recurring Deposit,9,36,7,
182,27123588,656013,Savings Account,1,,4,
183,14847364,30592,Fixed Deposit,5,36,5.15,2021-08-10
184,95099927,736504,Recurring Deposit,6,6,4.53,2022-12-07
185,37898180,596804,Fixed Deposit,2,12,5.28,
186,16805868,189745,Savings Account,10,36,6.85,
187,47178071,810734,Current Account,10,36,7.14,2023-03-17
188,30034371,396996,Current Account,2,6,4.82,
189,39396033,803268,Savings Account,9,12,6.98,2021-04-24
190,27609439,730817,Current Account,3,24,3.38,
191,27526755,411822,Current Account,9,24,6.26,2024-08-30
192,68909058,293375,Current Account,9,6,5.56,2022-02-09
193,76844055,474600,Savings Account,1,36,7.35,
194,58207686,103360,Savings Account,3,12,7.36,
195,27071436,703348,Savings Account,8,12,6.71,2021-10-31
196,23856023,230356,Current Account,1,,6.61,
197,42708760,678718,Fixed Deposit,10,36,6.19,2022-09-23
198,60053912,739432,Recurring Deposit,4,12,7.07,
199,36033313,418081,Current Account,7,36,6.03,
200,15560483,187624,Recurring Deposit,4,,7.19,
201,27534576,747709,Recurring Deposit,5,24,6.26,
202,77556899,8015,Recurring Deposit,2,12,4.07,2024-09-13
203,22554330,995773,Recurring Deposit,1,36,6.98,2024-01-23
204,66093439,937525,Current Account,6,6,2.76,2023-05-27
205,55025369,38299,Recurring Deposit,8,6,5.11,2024-09-23
206,16312908,216657,Savings Account,5,,4.45,
207,64647821,943138,Fixed Deposit,6,12,3.28,2024-05-18
208,44019584,994656,Recurring Deposit,9,24,7.1,2023-12-12
209,63133159,692402,Savings Account,5,6,6.47,2024-03-19
210,36446456,887313,Fixed Deposit,8,6,6.28,
211,10387330,315778,Fixed Deposit,3,24,6.28,2023-11-02
212,17709617,950755,Fixed Deposit,7,6,4.78,2021-08-04
213,56229195,520602,Savings Account,10,,5.29,
214,89842205,875812,Current Account,9,36,7.48,
215,40978675,845601,Current Account,4,6,4.59,2023-03-02
216,69051822,128942,Recurring Deposit,7,12,2.73,
217,71326503,705403,Fixed Deposit,8,6,3.08,2023-09-09
218,71686315,632099,Fixed Deposit,3,24,5.11,2020-02-08
219,57762576,308455,Savings Account,2,36,2.98,
220,63403040,412711,Savings Account,9,36,2.96,2022-07-24
221,88458610,429408,Current Account,10,24,2.58,2021-01-12
222,22878701,505883,Current Account,9,12,5.06,
223,92021157,270768,Fixed Deposit,4,12,7.08,
224,82111034,141146,Recurring Deposit,9,,2.64,
225,40097648,58879,Fixed Deposit,4,6,2.66,
226,27719312,743336,Fixed Deposit,4,12,3.05,2022-02-06
227,19534513,184829,Recurring Deposit,9,6,3.96,
228,13075969,170960,Recurring Deposit,1,,2.75,
229,97477918,375347,Fixed Deposit,8,6,2.64,
230,31729732,30917,Recurring Deposit,8,36,3.65,2022-03-02
231,90291052,279527,Recurring Deposit,5,36,3.67,2024-06-19
232,22033806,213069,Savings Account,7,,4.82,2021-06-20
233,65795728,298343,Current Account,8,24,3.39,2020-05-31
234,19935807,363809,Savings Account,3,24,4.74,
235,73038907,700920,Fixed Deposit,9,12,4.03,2024-06-13
236,50069088,68191,Current Account,7,36,5.94,2022-02-20
237,60750421,605138,Recurring Deposit,6,24,5.24,
238,91620278,416494,Recurring Deposit,1,6,2.91,
239,15486368,825766,Current Account,3,6,4.18,
240,31356906,698182,Current Account,4,6,7.29,
241,88120126,616289,Fixed Deposit,2,,3.57,2022-02-06
242,81254303,478821,Savings Account,1,,5.97,2020-10-24
243,39282250,17288,Current Account,3,24,5.64,2022-10-14
244,26016420,828604,Recurring Deposit,9,12,4.35,
245,13915350,113808,Recurring Deposit,9,6,5.82,
246,45389275,672533,Fixed Deposit,9,,3.59,2021-09-13
247,43278142,426331,Fixed Deposit,8,,3.59,
248,82640278,65020,Recurring Deposit,1,36,3.02,
249,47031436,11856,Recurring Deposit,6,36,2.81,2024-06-28
250,18976593,119004,Recurring Deposit,6,36,4.62,
251,93226902,44393,Savings Account,5,,6.93,
252,61955598,662582,Recurring Deposit,1,12,3.71,2021-08-12
253,62597519,850567,Fixed Deposit,6,6,3.36,2020-09-19
254,31770432,624277,Fixed Deposit,1,36,3.22,2021-04-25
255,30244833,47676,Savings Account,9,6,4.47,2021-01-26
256,86167096,226407,Recurring Deposit,8,36,4.49,2023-06-04
257,20893092,473712,Recurring Deposit,9,24,2.56,
258,37249427,71123,Fixed Deposit,8,36,5.98,2020-01-31
259,25906873,964651,Current Account,9,12,7.48,2020-04-01
260,66344543,699130,Current Account,2,6,6.49,
261,75343616,33055,Current Account,5,36,6.62,
262,11877988,747083,Savings Account,9,,7.42,
263,77254787,536387,Fixed Deposit,1,6,5.31,
264,17499695,840190,Savings Account,9,6,3.22,2020-01-14
265,59243476,615897,Recurring Deposit,3,,3.55,
266,64473983,628715,Current Account,3,36,6.8,2020-07-25
267,84783439,160306,Current Account,7,36,6.6,2022-06-18
268,59469218,141877,Savings Account,2,24,5.32,
269,66060603,163741,Recurring Deposit,10,6,5.12,
270,62781957,670203,Current Account,1,,5.14,2022-07-13
271,71807877,242287,Recurring Deposit,6,6,5.54,2020-06-03
272,15446471,329991,Fixed Deposit,6,6,5.73,
273,61427497,650334,Savings Account,7,24,4.6,2023-12-20
274,41389215,148538,Recurring Deposit,4,24,5.35,
275,62881948,533159,Current Account,7,12,6.5,
276,30531509,859246,Current Account,1,12,3.93,2023-05-24
277,21289411,610005,Current Account,1,,4.88,
278,86548120,73503,Recurring Deposit,5,6,2.66,2021-04-01
279,78738936,382168,Savings Account,9,24,4.24,
280,62843719,355542,Savings Account,2,24,4.06,2020-07-28
281,58593635,826451,Recurring Deposit,9,6,6.21,2022-08-05
282,58542593,174881,Savings Account,10,36,5.49,
283,18112731,520768,Savings Account,9,,4.36,
284,50694371,451470,Current Account,10,12,7.23,
285,88009158,573048,Fixed Deposit,10,12,6.14,
286,48512397,624497,Savings Account,10,6,6.22,
287,44190049,262136,Recurring Deposit,2,6,6,2021-12-05
288,50332842,309699,Fixed Deposit,5,6,5.97,2020-04-14
289,98050465,864416,Recurring Deposit,9,,4.58,
290,14855694,349693,Recurring Deposit,4,24,5.26,2022-06-02
291,69186698,195415,Fixed Deposit,2,,2.62,
292,67912960,76923,Savings Account,1,12,4.87,
293,62548420,303136,Current Account,5,,6.88,2024-10-18
294,36353271,525674,Recurring Deposit,2,12,3.14,2020-08-07
295,51093383,837354,Current Account,3,36,4.93,2021-11-07
296,91155978,328724,Savings Account,5,,5.11,
297,35308700,623311,Savings Account,4,6,4.62,2022-07-22
298,40161371,176654,Fixed Deposit,10,,2.57,2021-01-02
299,86175658,855547,Current Account,10,,3.11,
300,65946279,492853,Current Account,8,,3.68,
301,56142700,953330,Current Account,10,12,5.72,
302,11145701,735908,Savings Account,3,6,3.36,
303,50574135,450121,Recurring Deposit,2,,5.87,2020-02-21
304,96868831,55980,Savings Account,1,24,2.72,2021-09-26
305,91137087,104557,Current Account,8,,2.81,
306,60590529,400869,Recurring Deposit,2,,7.02,2024-05-23
307,32451247,282225,Current Account,7,,2.62,2024-03-20
308,70883220,671822,Recurring Deposit,3,36,3.49,
309,35470866,709831,Recurring Deposit,8,6,6.71,
310,27377943,158537,Current Account,3,6,5.7,
311,32675186,535700,Fixed Deposit,2,24,3.66,
312,61719505,852119,Current Account,7,36,4.44,
313,28077736,405195,Recurring Deposit,6,24,5.56,
314,68229002,285257,Fixed Deposit,1,,5.68,2022-09-25
315,25766710,551983,Recurring Deposit,2,,7.07,
316,21872853,646068,Current Account,2,12,4.58,
317,49663715,600311,Savings Account,1,36,4.7,2021-04-18
318,29710954,879341,Savings Account,4,24,5.35,
319,44323019,222482,Savings Account,6,6,3.55,2024-08-15
320,39050372,236348,Recurring Deposit,4,12,6.11,
321,65154850,990585,Savings Account,4,6,3.62,
322,99317146,831169,Fixed Deposit,7,12,5.06,2023-12-31
323,28447613,622732,Savings Account,2,6,5.93,
324,56106831,622944,Fixed Deposit,3,24,2.58,2021-02-15
325,97851680,497085,Recurring Deposit,9,6,5.2,
326,84464701,369154,Fixed Deposit,10,,3.12,2020-04-13
327,53025024,657549,Recurring Deposit,7,24,3.78,2024-08-05
328,45776413,716861,Current Account,8,,4.89,2023-09-12
329,30307891,346029,Current Account,10,6,5.51,2022-10-13
330,23611269,17015,Current Account,2,6,5.43,2023-04-07
331,79080131,320661,Current Account,4,6,2.58,
332,78885653,478512,Fixed Deposit,8,36,4.77,2022-07-12
333,95393642,368605,Current Account,3,36,6.44,2021-05-11
334,15273520,509079,Current Account,10,24,2.89,
335,81645549,183038,Recurring Deposit,1,,2.75,2021-02-24
336,76168307,626086,Current Account,1,6,4.42,2022-07-11
337,89741240,226108,Current Account,3,12,3.56,
338,92906190,392203,Current Account,9,6,4.52,2020-02-05
339,23164895,765280,Fixed Deposit,7,12,4,
340,93587401,489948,Fixed Deposit,6,12,6.89,
341,64702301,674469,Fixed Deposit,1,36,5.93,2022-10-20
342,29799652,982246,Current Account,9,,7.15,
343,95828215,602095,Recurring Deposit,10,6,4.75,
344,42225955,690712,Fixed Deposit,9,24,3.44,
345,51759819,65437,Fixed Deposit,2,24,4.95,2021-04-15
346,21359569,165032,Recurring Deposit,10,,5.38,2020-06-21
347,98317278,366635,Fixed Deposit,8,,6.55,
348,90636015,37053,Fixed Deposit,1,6,3.71,
349,86624045,723125,Current Account,10,24,3.91,
350,61038473,224199,Recurring Deposit,6,12,3.44,2024-05-30
351,45389150,478341,Recurring Deposit,3,24,6.45,
352,39608852,938877,Recurring Deposit,6,,5.58,2021-07-21
353,36979534,436711,Recurring Deposit,8,24,5.89,
354,85122416,285694,Fixed Deposit,4,6,6.7,
355,55477727,838760,Recurring Deposit,2,36,4.86,
356,42134668,633518,Recurring Deposit,6,,3.21,2021-12-26
357,27982209,452291,Recurring Deposit,10,,6.84,2022-11-12
358,47813626,943241,Savings Account,3,24,6.02,2021-12-22
359,71865387,466612,Fixed Deposit,1,24,7.24,
360,35052945,715023,Savings Account,1,24,4.93,2020-04-06
361,59074470,484257,Savings Account,7,6,3.69,2024-02-14
362,99484361,99737,Fixed Deposit,9,6,6.46,
363,17731369,243595,Current Account,3,24,5.96,2023-08-18
364,58945246,417135,Recurring Deposit,7,36,6.36,
365,81354003,590662,Fixed Deposit,9,,7.02,
366,41655280,904386,Savings Account,7,36,7.29,2023-08-23
367,40187291,548742,Fixed Deposit,8,24,4.48,
368,42953482,27419,Fixed Deposit,6,24,3.26,2020-11-13
369,44996204,108346,Current Account,1,6,5.4,
370,37153169,331506,Current Account,5,6,4.81,
371,14661983,456132,Savings Account,1,6,2.51,
372,42331122,323970,Recurring Deposit,10,,3.42,2022-03-21
373,20408360,466406,Current Account,8,24,3.25,2024-10-01
374,20560999,654563,Current Account,8,12,2.98,
375,59102796,113010,Savings Account,7,24,3.04,2023-05-29
376,99719331,897876,Current Account,7,,4.34,
377,81001446,508538,Current Account,7,12,4.22,2021-01-23
378,77042862,525939,Fixed Deposit,9,36,5.83,2024-08-20
379,64447809,965670,Recurring Deposit,9,,3.76,2020-04-15
380,13756676,572265,Fixed Deposit,10,,4.18,2023-02-23
381,60178914,270373,Fixed Deposit,2,24,6,2023-06-03
382,45846358,748842,Current Account,8,36,3.41,
383,59633035,318258,Savings Account,8,24,5.16,
384,72666858,917989,Recurring Deposit,9,,2.57,
385,62399178,284963,Recurring Deposit,7,,4.85,
386,85660611,409344,Current Account,1,6,6.85,2024-07-16
387,46045914,44979,Recurring Deposit,3,36,4.43,
388,77025580,137415,Savings Account,10,12,4.9,
389,54402602,456254,Savings Account,8,24,6.99,
390,70871955,974115,Fixed Deposit,9,36,3.81,
391,63871859,101344,Current Account,7,,2.65,2021-02-13
392,88762521,286298,Fixed Deposit,10,24,3.36,2020-01-14
393,46004061,255952,Savings Account,4,,6.22,
394,95325945,110393,Current Account,5,,3.85,2020-09-21
395,55030524,153141,Recurring Deposit,6,,6.56,
396,36758764,794269,Savings Account,3,,5.22,2024-01-12
397,58384498,422407,Savings Account,5,12,6.37,2023-02-06
398,42202747,532360,Current Account,3,6,2.66,
399,68597599,734650,Current Account,9,36,7.32,2022-02-03
400,59757038,373347,Savings Account,8,6,5.27,2020-01-09
401,85741435,657811,Recurring Deposit,9,12,7.43,2023-10-25
402,73376018,890837,Fixed Deposit,9,24,7.47,
403,46353477,374770,Fixed Deposit,5,,6.13,2023-06-23
404,62751253,868417,Recurring Deposit,3,36,5.01,
405,61896522,633765,Savings Account,3,12,5.7,2023-06-24
406,89812200,792163,Recurring Deposit,4,,3.43,
407,77483298,976886,Recurring Deposit,8,6,3.36,2020-11-08
408,61312479,717849,Current Account,5,24,5.43,
409,18533850,230738,Fixed Deposit,6,12,3.04,
410,67835495,423229,Current Account,9,36,4.79,
411,38000735,908555,Current Account,8,36,5.84,
412,47628906,637820,Recurring Deposit,8,12,6.52,
413,26974940,211353,Recurring Deposit,10,36,7.47,
414,20613757,123316,Current Account,8,,3.74,2024-06-22
415,33767704,837191,Fixed Deposit,1,12,4.74,2023-08-30
416,56071248,613941,Savings Account,1,6,6.59,2022-11-01
417,48325967,322941,Current Account,1,,4.55,2024-02-01
418,59652384,989621,Savings Account,2,12,3.05,2021-04-20
419,12969702,64893,Savings Account,1,36,2.86,2022-06-21
420,81871771,399155,Current Account,3,,4.33,
421,11062915,194218,Fixed Deposit,4,36,3.2,2020-01-21
422,86864684,831063,Recurring Deposit,3,36,2.7,2022-08-19
423,54565710,602021,Current Account,1,,3.37,2022-02-09
424,92990227,655845,Savings Account,4,6,5.55,
425,51117533,363525,Fixed Deposit,7,24,6.38,2022-08-12
426,78188722,378069,Current Account,7,36,7.21,2024-03-04
427,21749199,670622,Recurring Deposit,3,6,3.9,2022-03-11
428,55860921,635010,Recurring Deposit,4,36,5.14,
429,34879238,879244,Savings Account,6,,3.72,
430,63566423,586938,Fixed Deposit,7,6,5.28,2021-01-09
431,89986323,78185,Savings Account,3,,5.32,2021-05-22
432,29138827,997779,Current Account,1,24,6.45,2022-09-14
433,53365278,298195,Current Account,6,24,4.03,
434,59823728,248025,Fixed Deposit,5,,4.83,2021-12-01
435,87271371,534480,Recurring Deposit,8,6,4.23,2020-08-13
436,61175454,779087,Current Account,3,24,3.75,
437,63294489,81280,Fixed Deposit,8,12,3.51,
438,50545437,419253,Savings Account,4,36,5.38,
439,69952950,238910,Savings Account,2,24,7.39,
440,34390563,496018,Savings Account,9,36,5.47,
441,25145352,217704,Fixed Deposit,3,36,5.45,2021-08-26
442,42149055,373455,Fixed Deposit,2,36,6.48,
443,11818145,335975,Current Account,8,24,5.02,2024-02-07
444,70827518,166988,Fixed Deposit,5,12,3.65,2022-09-07
445,47068773,813838,Current Account,6,6,3.02,
446,28348753,582914,Savings Account,2,36,5.66,
447,42158208,87372,Savings Account,9,12,3.68,2023-06-11
448,59384436,254119,Current Account,5,36,4.61,2020-10-28
449,88987309,920970,Current Account,8,6,4.95,2020-02-09
450,25926737,352141,Savings Account,3,6,7.11,2020-06-10
451,45660991,191418,Savings Account,3,36,4.31,2024-03-21
452,34372953,868344,Savings Account,10,,7.24,
453,61647782,4063,Current Account,5,,6.54,2024-03-02
454,26447014,88883,Savings Account,10,6,3.59,
455,48374892,800824,Fixed Deposit,3,24,5.4,2024-03-20
456,17065104,886508,Fixed Deposit,3,36,6.64,2021-09-02
457,99616888,183985,Current Account,9,,7.32,2021-06-10
458,45537084,187924,Current Account,3,36,4.76,
459,97330798,693706,Current Account,4,,5.28,
460,83076416,726957,Fixed Deposit,1,36,5.38,
461,88318891,754114,Recurring Deposit,5,12,7.21,2020-08-15
462,36227933,901238,Recurring Deposit,5,12,4.89,
463,43260813,340201,Fixed Deposit,10,6,7.47,
464,31127637,248714,Current Account,1,12,6.5,
465,65761575,23163,Recurring Deposit,2,24,5.9,2024-03-22
466,25615418,224010,Current Account,10,6,6.53,2022-12-22
467,50399190,265281,Current Account,4,,5.74,
468,52511436,811276,Savings Account,2,6,3.44,
469,51466066,447583,Current Account,8,,4.01,2020-07-11
470,38654272,203823,Fixed Deposit,7,36,5,
471,17494253,246677,Savings Account,6,24,3.24,2021-12-02
472,70774482,621138,Recurring Deposit,2,12,4.64,2023-07-25
473,86043905,176884,Savings Account,6,6,5.16,
474,65384844,255990,Current Account,4,12,5.31,
475,39529338,56373,Current Account,7,24,6.86,2020-09-24
476,98286472,134761,Recurring Deposit,4,36,4.99,
477,71457996,467401,Current Account,2,,6.51,2021-07-11
478,40333941,348868,Recurring Deposit,8,12,6.68,
479,23992174,456063,Current Account,1,6,5.42,2020-05-19
480,12425579,427748,Fixed Deposit,2,12,5.75,
481,14024877,376338,Savings Account,10,6,3.53,2021-03-31
482,81693460,434313,Fixed Deposit,8,24,3.1,
483,96653191,530237,Recurring Deposit,3,12,5.81,2022-11-02
484,26372136,739108,Fixed Deposit,8,6,7.26,2020-08-08
485,76529367,806986,Current Account,5,24,3.56,2021-09-08
486,81246829,647768,Current Account,3,,6.57,2024-05-21
487,57817462,472401,Current Account,7,,6.91,
488,32415998,650771,Savings Account,9,36,2.72,
489,29070828,305421,Recurring Deposit,1,24,7.13,
490,26139313,205446,Current Account,7,6,6.72,
491,20656998,358256,Fixed Deposit,1,6,5.65,
492,59440487,774595,Recurring Deposit,2,,3.5,
493,83683223,296215,Recurring Deposit,7,6,2.54,2024-02-13
494,69946219,868082,Current Account,6,,3.86,2021-08-23
495,22398776,997328,Recurring Deposit,10,12,5.74,
496,84756776,175007,Recurring Deposit,8,,4.38,
