AccountID,AccountNumber,OpenDate,AccountType,BranchID,AccountBalance,Status
3059,10648171,2024-10-17,Recurring Deposit,7,726793,Active
3997,10715296,2024-05-31,Recurring Deposit,6,354690,Active
1680,10722446,2021-03-26,Fixed Deposit,7,920756,Active
4861,10748986,2022-10-20,Current Account,6,731832,Closed
9,10754115,2023-05-22,Savings Account,3,976896,Active
4441,10776989,2024-02-03,Fixed Deposit,5,784548,Active
4988,10787815,2024-08-26,Fixed Deposit,5,66349,Closed
3851,10808854,2024-07-04,Current Account,3,872600,Active
4798,10815480,2020-11-27,Recurring Deposit,8,721697,Active
2098,10819619,2023-09-30,Savings Account,7,697560,Active
74,10821305,2023-04-03,Savings Account,6,417855,Closed
1786,10842074,2022-04-11,Savings Account,6,465550,Closed
2876,10844050,2022-08-23,Current Account,5,38052,Active
737,10847304,2024-09-24,Recurring Deposit,8,285217,Closed
27,10871774,2023-02-20,Current Account,1,236240,Closed
4103,10880540,2020-02-02,Current Account,4,662713,Active
3297,10918529,2024-08-25,Current Account,3,925900,Closed
913,10924446,2023-09-05,Recurring Deposit,9,615751,Closed
3574,10936049,2020-09-05,Current Account,6,839484,Active
2508,10954878,2022-12-08,Recurring Deposit,4,935702,Active
4142,10972066,2021-12-19,Current Account,3,866254,Closed
2723,10982850,2023-08-15,Recurring Deposit,3,266640,Active
4288,10996386,2023-12-01,Current Account,3,503376,Closed
3940,11055438,2021-09-06,Recurring Deposit,8,665750,Active
2067,11062252,2024-06-13,Fixed Deposit,10,707451,Active
421,11062915,2020-01-28,Fixed Deposit,4,946351,Closed
978,11067974,2022-10-21,Current Account,7,222062,Closed
1064,11070533,2020-10-12,Recurring Deposit,4,273439,Active
2595,11110324,2021-04-19,Recurring Deposit,9,271100,Active
3208,11130283,2022-02-15,Fixed Deposit,6,3989,Active
2690,11131286,2024-01-22,Recurring Deposit,1,510505,Closed
1582,11132274,2023-06-02,Current Account,4,124837,Active
52,11137010,2021-07-25,Current Account,5,505714,Closed
302,11145701,2023-02-16,Savings Account,3,360831,Active
4361,11157338,2022-12-28,Recurring Deposit,9,126207,Active
3867,11185755,2023-10-21,Fixed Deposit,8,92886,Active
3090,11195394,2024-07-25,Savings Account,7,717416,Closed
1849,11212316,2022-01-22,Fixed Deposit,7,244047,Closed
1231,11250812,2020-09-06,Recurring Deposit,5,543989,Active
3516,11265080,2022-10-23,Recurring Deposit,5,817122,Closed
2234,11294218,2021-09-01,Current Account,4,254795,Active
3635,11294689,2023-04-18,Current Account,3,34009,Closed
2972,11298102,2020-05-12,Recurring Deposit,10,726965,Closed
3031,11305716,2022-01-29,Fixed Deposit,1,106980,Closed
1917,11325577,2024-09-13,Savings Account,8,458026,Active
1924,11330468,2023-02-16,Current Account,10,862552,Active
4248,11333197,2024-03-21,Current Account,3,728227,Active
1241,11336919,2022-08-03,Recurring Deposit,3,738067,Active
2820,11339009,2024-02-15,Current Account,6,483216,Active
1090,11363738,2023-07-25,Recurring Deposit,7,944081,Closed
178,11370078,2024-08-27,Fixed Deposit,6,227331,Active
3659,11371557,2023-06-27,Recurring Deposit,9,69493,Closed
4074,11372988,2021-11-23,Recurring Deposit,10,307330,Active
3811,11380509,2024-01-12,Recurring Deposit,1,624916,Active
4466,11385579,2024-04-25,Current Account,2,545598,Active
1451,11385716,2023-06-21,Savings Account,1,342110,Active
2453,11400593,2024-04-16,Recurring Deposit,9,980583,Active
1256,11436957,2021-09-12,Savings Account,9,138270,Closed
4567,11446903,2024-09-15,Savings Account,3,42310,Closed
3973,11446908,2021-02-08,Savings Account,2,605628,Active
4991,11469955,2020-03-06,Fixed Deposit,5,396677,Active
4668,11488873,2020-04-29,Current Account,3,626068,Closed
2410,11524245,2022-01-21,Fixed Deposit,6,319233,Closed
4392,11536077,2023-03-23,Current Account,3,647716,Active
3271,11547308,2021-07-17,Recurring Deposit,5,456311,Active
1446,11576195,2020-05-27,Fixed Deposit,7,394370,Closed
2440,11595678,2023-11-15,Fixed Deposit,10,149632,Active
2795,11610506,2021-06-02,Current Account,9,400267,Active
3139,11615752,2023-06-29,Current Account,8,511222,Closed
4589,11622415,2021-05-12,Recurring Deposit,3,866346,Active
2834,11654134,2024-01-15,Current Account,8,253581,Active
4487,11668434,2022-02-11,Fixed Deposit,6,6904,Active
2692,11671866,2023-11-02,Current Account,9,879681,Closed
4380,11706226,2024-08-31,Current Account,10,462305,Closed
1978,11707969,2021-06-22,Recurring Deposit,2,478853,Closed
181,11750973,2020-08-18,Recurring Deposit,9,386761,Closed
3483,11772524,2023-02-17,Fixed Deposit,9,600066,Closed
4393,11804521,2024-06-24,Savings Account,6,702878,Active
443,11818145,2020-01-03,Current Account,8,620025,Closed
749,11818925,2020-11-30,Recurring Deposit,10,339301,Closed
3950,11867528,2021-01-23,Fixed Deposit,9,390813,Closed
2686,11868922,2020-02-09,Recurring Deposit,3,273778,Active
17,11871598,2020-03-30,Fixed Deposit,8,978181,Closed
2773,11877542,2020-10-15,Savings Account,4,252065,Active
262,11877988,2020-11-01,Savings Account,9,262875,Closed
658,11900451,2020-06-10,Fixed Deposit,8,535216,Active
2371,11931219,2023-10-25,Fixed Deposit,10,385148,Closed
3038,11952172,2023-09-11,Fixed Deposit,8,740534,Active
1974,11955403,2023-04-02,Recurring Deposit,4,29597,Closed
4467,11976405,2020-04-23,Recurring Deposit,2,964119,Closed
3585,11977091,2024-04-02,Fixed Deposit,6,346186,Closed
4775,11990453,2023-06-13,Recurring Deposit,6,368039,Active
4183,11998162,2023-03-08,Current Account,7,450160,Active
818,12001043,2020-06-25,Current Account,9,858951,Closed
3578,12003112,2021-12-08,Savings Account,5,254697,Active
3354,12019270,2022-01-24,Savings Account,2,26337,Closed
2894,12066517,2020-04-26,Savings Account,10,222327,Closed
3665,12076385,2023-11-18,Fixed Deposit,6,623275,Closed
4958,12087889,2021-03-10,Savings Account,6,86853,Active
3779,12140201,2021-12-11,Current Account,10,299436,Closed
4608,12147945,2020-08-16,Savings Account,10,488750,Closed
3170,12151775,2023-06-04,Current Account,9,661287,Closed
4718,12166903,2021-07-31,Fixed Deposit,3,944841,Active
1233,12179926,2023-09-02,Fixed Deposit,2,722630,Active
1293,12199227,2020-08-17,Savings Account,6,375772,Active
1818,12232886,2021-07-26,Savings Account,8,441966,Closed
4963,12247218,2020-06-08,Savings Account,5,506006,Active
694,12266578,2023-11-26,Savings Account,2,883128,Closed
793,12269217,2023-03-17,Current Account,2,330637,Active
2306,12276587,2022-09-12,Savings Account,10,740632,Active
2904,12284070,2022-05-22,Recurring Deposit,10,529233,Active
3692,12291899,2020-04-10,Fixed Deposit,1,939947,Active
1634,12296163,2021-10-05,Current Account,1,48663,Active
1037,12305350,2023-06-21,Recurring Deposit,2,248038,Active
3391,12307458,2020-07-23,Fixed Deposit,7,281316,Closed
1992,12320274,2021-12-17,Savings Account,10,424498,Closed
3207,12334965,2023-06-02,Current Account,1,515136,Closed
1487,12353758,2024-07-21,Recurring Deposit,8,936162,Active
3229,12402352,2021-10-25,Savings Account,7,74529,Closed
4337,12414504,2022-11-03,Current Account,7,872071,Closed
480,12425579,2022-05-02,Fixed Deposit,2,375998,Active
1940,12426412,2020-11-16,Fixed Deposit,10,490855,Closed
812,12437415,2021-11-05,Current Account,1,349939,Closed
3134,12438885,2021-04-27,Savings Account,2,410519,Active
3047,12439233,2022-07-30,Recurring Deposit,5,931691,Active
3433,12454378,2020-02-18,Current Account,2,541784,Active
1437,12485938,2020-06-20,Current Account,10,144403,Active
1168,12512095,2020-07-16,Recurring Deposit,4,875698,Active
4418,12518334,2023-09-25,Fixed Deposit,4,98146,Closed
3738,12531451,2022-02-27,Recurring Deposit,8,180463,Active
4927,12582423,2020-06-19,Recurring Deposit,6,3376,Active
4821,12587407,2023-06-18,Current Account,4,118196,Closed
3965,12593999,2021-07-24,Current Account,6,910320,Closed
2011,12618007,2021-12-15,Recurring Deposit,1,255593,Closed
2727,12641440,2023-04-24,Recurring Deposit,6,278074,Active
4533,12653862,2021-11-28,Savings Account,5,539364,Closed
1773,12655477,2021-08-08,Current Account,10,394622,Closed
1670,12671254,2020-06-28,Current Account,6,623933,Active
3612,12674033,2024-01-22,Current Account,7,321883,Closed
2446,12681024,2022-10-13,Fixed Deposit,10,818768,Active
4677,12742587,2020-11-06,Savings Account,1,111055,Closed
3046,12767728,2022-10-10,Recurring Deposit,8,976684,Closed
2438,12773948,2021-06-04,Savings Account,8,353926,Closed
1449,12793011,2021-10-01,Current Account,6,976670,Active
1676,12810085,2020-05-15,Current Account,8,447972,Active
4444,12854500,2023-07-15,Current Account,3,436133,Closed
2653,12855211,2023-12-10,Recurring Deposit,5,719425,Active
1413,12880851,2022-06-26,Recurring Deposit,4,70023,Closed
1872,12898255,2023-07-24,Fixed Deposit,3,805059,Closed
2617,12900141,2021-03-15,Savings Account,2,464902,Active
4070,12912578,2020-07-23,Recurring Deposit,7,254548,Closed
4748,12940347,2021-05-29,Recurring Deposit,6,743351,Active
1243,12948302,2023-01-15,Savings Account,4,551112,Closed
419,12969702,2021-10-04,Savings Account,1,325800,Active
4702,12986769,2020-03-25,Recurring Deposit,6,643767,Active
1855,13016518,2020-05-23,Savings Account,8,881182,Closed
2913,13033850,2020-05-31,Savings Account,5,27787,Closed
3528,13037859,2020-09-10,Savings Account,3,434969,Closed
2411,13041899,2024-07-20,Fixed Deposit,10,872380,Active
228,13075969,2022-11-11,Recurring Deposit,1,655683,Active
944,13094200,2023-12-11,Current Account,6,605870,Closed
3104,13094747,2022-04-19,Current Account,4,446937,Closed
3071,13106154,2021-10-16,Fixed Deposit,4,443739,Active
2700,13112785,2024-04-18,Savings Account,6,542024,Closed
3429,13113730,2022-02-16,Recurring Deposit,5,847225,Active
4058,13140013,2023-11-30,Savings Account,3,264674,Closed
902,13156663,2020-11-01,Fixed Deposit,6,733561,Closed
3244,13158362,2021-12-05,Current Account,6,882657,Closed
3658,13165537,2021-02-14,Savings Account,8,437358,Active
2979,13172317,2022-02-02,Savings Account,5,227658,Active
4744,13230673,2022-10-29,Current Account,4,770121,Closed
2932,13235511,2022-01-21,Recurring Deposit,1,818965,Closed
549,13299958,2024-08-01,Savings Account,3,648872,Closed
63,13310360,2022-07-27,Recurring Deposit,8,733162,Closed
2863,13348963,2021-01-01,Savings Account,10,664449,Active
3291,13376007,2022-09-28,Recurring Deposit,5,209692,Active
3961,13392122,2023-11-28,Fixed Deposit,9,141674,Active
519,13397731,2020-11-27,Current Account,9,305176,Closed
557,13398022,2023-02-22,Current Account,6,261489,Closed
3853,13409042,2021-03-03,Current Account,7,269626,Closed
4222,13409779,2023-02-27,Current Account,7,810292,Closed
2835,13489239,2022-11-05,Current Account,3,901152,Closed
4228,13550019,2024-05-05,Fixed Deposit,7,720909,Active
571,13552710,2024-02-06,Recurring Deposit,6,289613,Closed
4144,13577210,2020-02-29,Current Account,6,896251,Closed
4829,13594894,2021-10-17,Savings Account,2,113460,Active
596,13595556,2023-08-28,Savings Account,2,597071,Active
4695,13630559,2023-11-23,Recurring Deposit,6,568994,Active
1540,13632984,2020-11-19,Fixed Deposit,8,759700,Active
3754,13666354,2022-12-23,Recurring Deposit,6,282403,Closed
1104,13675662,2023-07-17,Current Account,8,403563,Closed
3547,13689695,2022-02-26,Current Account,4,123309,Active
3887,13707261,2022-01-09,Current Account,5,798705,Closed
1497,13728160,2023-04-16,Savings Account,10,43152,Closed
1913,13751973,2022-06-20,Savings Account,4,184313,Active
380,13756676,2023-05-28,Fixed Deposit,10,254291,Closed
1179,13760835,2022-07-20,Savings Account,7,328760,Active
2754,13779742,2022-02-02,Recurring Deposit,9,851176,Closed
2549,13781320,2023-06-01,Fixed Deposit,10,179051,Closed
860,13800827,2023-08-26,Fixed Deposit,2,89184,Active
2295,13891393,2023-08-01,Savings Account,9,288726,Closed
1282,13898137,2021-05-11,Savings Account,5,720341,Active
245,13915350,2024-01-27,Recurring Deposit,9,951039,Closed
3449,13933599,2024-08-19,Fixed Deposit,9,75018,Active
3266,13941312,2023-04-26,Fixed Deposit,2,470227,Active
2076,13945942,2023-11-15,Fixed Deposit,5,767757,Closed
3945,13971230,2020-11-16,Savings Account,8,623184,Closed
3254,13976162,2024-06-04,Recurring Deposit,10,535268,Closed
2392,13984241,2023-03-10,Current Account,10,915205,Closed
4765,13991574,2023-03-22,Current Account,3,854043,Active
3148,14022683,2023-12-15,Current Account,10,942802,Closed
481,14024877,2024-05-19,Savings Account,10,614573,Closed
2826,14029896,2022-05-15,Savings Account,3,424668,Closed
4925,14052129,2022-09-27,Savings Account,6,327721,Closed
4809,14054318,2020-09-24,Current Account,9,366296,Active
3838,14054656,2020-03-06,Recurring Deposit,8,645955,Closed
2204,14064806,2024-03-01,Recurring Deposit,5,876654,Active
887,14144268,2024-09-28,Savings Account,4,969193,Closed
4902,14172537,2022-07-28,Savings Account,10,987863,Closed
2819,14184542,2023-08-05,Savings Account,3,279041,Active
2020,14191620,2023-09-17,Current Account,1,886715,Closed
1928,14214307,2023-07-02,Current Account,8,375384,Closed
4906,14220539,2023-10-23,Current Account,3,112260,Closed
3584,14224882,2022-11-01,Recurring Deposit,4,802222,Active
4514,14247464,2021-08-27,Fixed Deposit,10,350134,Active
3234,14255661,2020-01-23,Savings Account,9,518532,Active
2805,14267792,2024-06-25,Recurring Deposit,3,919986,Closed
1,14288027,2020-09-05,Savings Account,9,886959,Closed
3934,14346230,2021-12-05,Fixed Deposit,3,343628,Closed
3482,14353181,2021-09-10,Recurring Deposit,2,768917,Closed
4609,14362261,2020-12-07,Current Account,7,509092,Closed
4001,14363594,2023-01-29,Savings Account,7,248944,Closed
2989,14365968,2023-04-15,Fixed Deposit,1,420696,Closed
4088,14372066,2024-02-04,Current Account,7,286328,Closed
1180,14384831,2022-12-03,Current Account,2,962209,Active
3974,14415512,2022-12-10,Savings Account,2,650410,Active
943,14432708,2020-01-03,Savings Account,5,996753,Active
4960,14441749,2024-07-07,Current Account,3,151132,Active
4683,14464913,2020-08-03,Current Account,1,237632,Active
4121,14481563,2024-02-27,Savings Account,1,262704,Active
1156,14494343,2023-12-23,Fixed Deposit,6,897017,Active
4660,14504087,2021-05-01,Current Account,10,338139,Active
3187,14520546,2023-04-05,Savings Account,3,829697,Closed
940,14533166,2021-08-04,Fixed Deposit,8,622922,Active
4093,14643233,2020-03-02,Current Account,3,408099,Active
2842,14644911,2024-01-23,Recurring Deposit,1,732909,Closed
371,14661983,2021-08-22,Savings Account,1,617558,Active
638,14665196,2024-02-02,Recurring Deposit,3,766956,Closed
2717,14677515,2024-07-07,Savings Account,1,31871,Active
2019,14686812,2023-03-30,Savings Account,9,434982,Closed
2570,14692509,2024-07-13,Fixed Deposit,4,637964,Active
584,14708670,2020-01-14,Current Account,2,922312,Active
2662,14713027,2023-12-09,Current Account,9,344747,Closed
2804,14717473,2020-12-10,Savings Account,5,230053,Active
2784,14757486,2020-01-25,Savings Account,2,467088,Active
1383,14839040,2023-08-20,Recurring Deposit,1,781804,Closed
183,14847364,2021-04-29,Fixed Deposit,5,398157,Active
290,14855694,2023-12-28,Recurring Deposit,4,527485,Closed
842,14876892,2021-12-15,Recurring Deposit,8,731048,Active
556,14881035,2024-08-21,Fixed Deposit,3,606796,Active
3355,14898870,2022-10-02,Savings Account,7,692542,Closed
4685,14899615,2021-09-06,Current Account,10,656607,Closed
2198,14918680,2021-10-09,Current Account,8,686806,Active
3749,14922900,2024-06-04,Savings Account,5,914079,Closed
2296,14956822,2023-12-22,Current Account,6,667388,Closed
2942,14973489,2022-04-26,Recurring Deposit,4,297335,Active
4450,15002545,2021-04-22,Recurring Deposit,9,784961,Closed
1088,15005295,2024-09-01,Fixed Deposit,2,637927,Closed
2220,15024382,2022-02-27,Recurring Deposit,3,796524,Active
2586,15029596,2022-08-01,Fixed Deposit,2,597522,Closed
1202,15038516,2022-01-12,Fixed Deposit,10,730389,Closed
952,15051291,2022-10-01,Current Account,1,554264,Active
3600,15107177,2020-10-15,Savings Account,2,31165,Closed
656,15177367,2024-02-27,Fixed Deposit,7,667953,Active
2048,15183403,2022-04-25,Recurring Deposit,3,914134,Closed
3018,15244248,2022-05-11,Current Account,4,896216,Closed
1933,15245835,2023-08-15,Savings Account,9,87845,Closed
334,15273520,2020-08-14,Current Account,10,535850,Closed
3971,15279811,2021-05-07,Savings Account,4,415713,Active
4417,15279873,2020-05-31,Savings Account,8,285797,Active
2709,15304180,2022-10-19,Savings Account,8,831798,Active
4400,15336155,2022-11-14,Fixed Deposit,5,708317,Closed
3,15346404,2021-01-26,Current Account,1,388750,Closed
1342,15382566,2023-03-22,Recurring Deposit,7,794821,Active
3569,15411441,2021-11-28,Fixed Deposit,1,522470,Closed
1552,15428771,2023-01-29,Fixed Deposit,5,745093,Closed
272,15446471,2023-09-01,Fixed Deposit,6,31955,Closed
3102,15453328,2021-11-24,Current Account,6,449960,Closed
4108,15467628,2020-02-19,Fixed Deposit,1,232542,Active
239,15486368,2022-12-06,Current Account,3,470439,Active
4672,15504228,2020-01-05,Savings Account,2,492832,Closed
1957,15522926,2024-04-29,Fixed Deposit,4,493621,Active
4543,15526598,2020-09-01,Fixed Deposit,5,878890,Closed
2853,15537346,2020-09-27,Current Account,6,178251,Active
200,15560483,2021-04-14,Recurring Deposit,4,139973,Active
4293,15562968,2023-08-05,Current Account,6,208093,Active
4579,15564994,2024-01-11,Fixed Deposit,9,129005,Active
1370,15632263,2023-06-21,Savings Account,1,802019,Active
1510,15642716,2023-03-27,Current Account,10,459658,Active
2467,15672381,2020-10-07,Savings Account,3,494416,Closed
4898,15708452,2021-08-07,Fixed Deposit,3,217476,Closed
1597,15715022,2024-01-24,Fixed Deposit,8,71528,Active
2540,15715975,2024-05-19,Fixed Deposit,5,223757,Closed
2476,15733311,2024-05-16,Current Account,8,911372,Active
1531,15737190,2020-12-20,Recurring Deposit,10,415204,Closed
2583,15751725,2022-01-07,Recurring Deposit,2,912581,Closed
1091,15759381,2023-01-04,Savings Account,4,60624,Closed
2036,15807045,2022-12-03,Fixed Deposit,3,804001,Active
1072,15818570,2020-06-03,Recurring Deposit,4,22597,Closed
1780,15831593,2021-01-09,Recurring Deposit,5,629597,Active
1553,15853153,2022-03-17,Savings Account,3,657529,Closed
2998,15853516,2022-04-09,Recurring Deposit,9,452873,Active
3437,15871005,2022-11-10,Fixed Deposit,9,417398,Active
117,15966926,2021-03-30,Recurring Deposit,8,574066,Closed
4072,15985419,2022-04-06,Current Account,3,95369,Closed
3088,16003481,2020-08-10,Savings Account,10,378197,Active
2621,16026859,2021-04-17,Recurring Deposit,4,775717,Active
4522,16040186,2021-04-27,Fixed Deposit,7,894090,Active
772,16044217,2024-05-29,Current Account,7,454046,Closed
1637,16103166,2024-01-28,Savings Account,2,347415,Active
645,16115184,2023-10-07,Savings Account,7,127438,Active
3497,16118607,2024-01-31,Recurring Deposit,1,374143,Closed
3732,16122267,2022-01-23,Fixed Deposit,5,511966,Active
555,16124393,2021-04-10,Savings Account,1,495290,Closed
896,16131158,2020-03-30,Fixed Deposit,4,957050,Active
3805,16132843,2021-05-04,Recurring Deposit,5,122189,Active
1982,16163850,2021-12-20,Recurring Deposit,1,600141,Closed
3280,16174484,2023-04-27,Savings Account,1,577433,Closed
4889,16225199,2021-01-24,Savings Account,1,451285,Active
6,16227011,2022-10-25,Savings Account,5,323602,Closed
1694,16229481,2020-03-04,Fixed Deposit,7,772296,Active
3639,16230475,2022-11-15,Fixed Deposit,8,595684,Active
47,16231220,2022-05-18,Fixed Deposit,4,163163,Active
4080,16235415,2022-08-09,Current Account,4,320654,Active
542,16260094,2022-10-31,Fixed Deposit,4,114676,Closed
1286,16263500,2021-12-28,Fixed Deposit,3,640617,Active
4730,16266737,2021-12-27,Recurring Deposit,10,120488,Active
4442,16278290,2020-12-02,Current Account,7,682556,Closed
3668,16288197,2023-12-26,Current Account,4,506097,Closed
1211,16299062,2022-03-31,Recurring Deposit,2,834770,Closed
2421,16307438,2020-10-01,Fixed Deposit,5,777181,Closed
206,16312908,2021-04-27,Savings Account,5,424863,Active
1365,16327866,2024-02-11,Savings Account,2,35901,Closed
2164,16330192,2022-01-17,Savings Account,7,319503,Active
1979,16340888,2021-06-05,Current Account,5,980938,Active
2027,16389494,2021-06-29,Current Account,7,541041,Closed
1044,16408122,2020-05-10,Fixed Deposit,4,27510,Active
4031,16409970,2024-01-24,Recurring Deposit,4,959584,Closed
4900,16432263,2022-03-28,Recurring Deposit,2,234276,Closed
1148,16450225,2020-01-26,Current Account,7,701728,Closed
2298,16472544,2020-09-07,Fixed Deposit,5,946662,Closed
512,16524247,2024-06-25,Recurring Deposit,6,662406,Closed
642,16570619,2020-01-04,Savings Account,7,297792,Closed
720,16618133,2020-08-03,Savings Account,3,98108,Closed
4261,16626244,2021-01-08,Current Account,2,565840,Active
1380,16641596,2021-05-17,Current Account,7,472903,Closed
3478,16643596,2024-05-17,Fixed Deposit,4,247372,Closed
974,16649866,2021-01-22,Savings Account,9,269959,Active
3790,16685457,2023-05-31,Recurring Deposit,3,363260,Closed
4422,16697766,2020-04-10,Fixed Deposit,6,465741,Closed
4617,16698934,2021-01-12,Recurring Deposit,4,106439,Active
914,16703057,2024-08-19,Recurring Deposit,10,601218,Closed
1376,16710432,2022-11-21,Savings Account,8,589348,Active
2254,16711227,2021-02-26,Fixed Deposit,3,631779,Closed
1323,16717119,2021-03-27,Recurring Deposit,9,373604,Closed
1189,16727400,2020-07-20,Fixed Deposit,3,808791,Closed
2793,16745852,2023-03-26,Recurring Deposit,6,778940,Closed
118,16757047,2021-07-26,Current Account,6,282277,Active
2999,16758118,2022-06-15,Current Account,8,461291,Active
3103,16799765,2022-11-30,Recurring Deposit,10,784626,Closed
186,16805868,2020-08-03,Savings Account,10,213469,Active
3504,16835512,2021-01-14,Savings Account,4,21694,Closed
3452,16839427,2023-12-14,Current Account,5,152456,Closed
4633,16875885,2021-03-20,Savings Account,4,311873,Closed
2348,16891024,2022-08-13,Savings Account,10,90140,Closed
2783,16928010,2024-03-13,Fixed Deposit,10,675393,Closed
2008,16950641,2022-07-20,Savings Account,5,675042,Active
4874,16953155,2021-01-21,Savings Account,4,246557,Active
3836,16995189,2020-09-03,Current Account,1,979581,Active
1301,16995319,2024-08-04,Fixed Deposit,6,13389,Active
2161,17009579,2021-02-08,Savings Account,6,292379,Active
4407,17061921,2023-09-01,Fixed Deposit,3,195372,Active
456,17065104,2021-11-04,Fixed Deposit,3,538848,Closed
2290,17067675,2020-03-18,Fixed Deposit,8,361981,Active
3465,17096276,2021-06-17,Current Account,8,236062,Closed
138,17169970,2020-09-14,Recurring Deposit,6,245366,Closed
3371,17200455,2023-05-11,Recurring Deposit,8,295375,Active
3163,17203266,2022-11-22,Current Account,6,686204,Active
3245,17218512,2023-09-04,Savings Account,4,884511,Active
2882,17220051,2022-01-08,Current Account,2,412681,Active
147,17244313,2022-06-18,Recurring Deposit,1,495967,Closed
4852,17288491,2022-04-28,Recurring Deposit,1,874663,Active
4892,17301338,2023-04-22,Recurring Deposit,10,530688,Active
1103,17329318,2021-05-12,Fixed Deposit,9,726695,Active
2159,17346961,2022-07-23,Savings Account,2,330757,Closed
4457,17367600,2023-03-10,Current Account,6,58209,Closed
3626,17371064,2023-07-23,Savings Account,1,231668,Active
3240,17433165,2022-08-20,Current Account,3,612534,Closed
730,17438597,2022-12-19,Fixed Deposit,8,473541,Closed
471,17494253,2023-04-11,Savings Account,6,154209,Closed
264,17499695,2020-04-04,Savings Account,9,460764,Active
1272,17522909,2021-06-23,Recurring Deposit,1,561911,Closed
2802,17528345,2024-07-24,Savings Account,6,330610,Active
3540,17548149,2021-02-06,Current Account,6,13898,Active
2109,17564055,2024-02-01,Fixed Deposit,9,376124,Active
4167,17575494,2022-11-23,Fixed Deposit,7,661711,Closed
2728,17596334,2020-06-12,Recurring Deposit,1,933885,Active
1266,17605519,2023-03-09,Savings Account,6,337254,Closed
4968,17626061,2021-09-02,Fixed Deposit,2,724796,Active
1671,17652163,2023-04-05,Recurring Deposit,9,768655,Closed
4311,17671858,2024-09-27,Recurring Deposit,2,905994,Active
712,17671873,2022-11-05,Fixed Deposit,3,321720,Active
3920,17678081,2021-02-14,Fixed Deposit,2,708416,Closed
4320,17694709,2022-01-25,Recurring Deposit,6,95056,Active
757,17694960,2024-04-19,Fixed Deposit,8,473124,Closed
212,17709617,2024-05-11,Fixed Deposit,7,603660,Closed
4157,17721842,2021-09-07,Current Account,8,377775,Active
3846,17722133,2023-02-12,Current Account,5,546776,Active
363,17731369,2024-07-03,Current Account,3,495067,Closed
3874,17754161,2020-06-21,Savings Account,10,453117,Active
1206,17844402,2021-06-02,Current Account,10,515787,Active
3466,17845585,2023-06-01,Savings Account,1,774135,Active
1591,17850078,2021-10-06,Recurring Deposit,7,195938,Active
1303,17850353,2021-01-23,Savings Account,6,132296,Active
3165,17859815,2024-05-28,Current Account,6,939636,Closed
4756,17876259,2020-07-09,Current Account,6,421499,Closed
2971,17890314,2023-02-06,Current Account,5,376799,Closed
2469,17928349,2023-02-12,Fixed Deposit,7,143062,Closed
160,17940265,2024-03-30,Current Account,3,422231,Closed
4114,17969791,2023-06-17,Savings Account,10,253702,Closed
2742,17985583,2023-10-21,Fixed Deposit,2,131781,Active
