EmployeeID,Name,DOB,DOJ,Status,ReasonForLeaving,BranchID,Designation,BranchLocation,Salary,PerformanceRating
152,Dr. Sarah Payne,1965-04-12,2024-03-19,Resigned,Retirement,6,Clerk,Newtonberg,51786,1.05
153,Melanie Villarreal,1967-08-03,2020-02-28,Resigned,Career Change,2,Manager,Port Ryanburgh,98174,2.09
154,Jessica Fields,1965-08-13,2023-04-03,Resigned,Personal,8,Manager,East Zacharyhaven,76551,1.9
155,Robert Sandoval,1977-03-03,2023-04-10,Active,Retirement,5,Clerk,Strongstad,122940,1.73
156,Patrick Payne,1989-08-21,2023-10-11,Resigned,Personal,10,Manager,South Heidi,49288,4.85
157,Dylan Contreras,1965-01-19,2020-05-17,Resigned,N/A,6,Assistant,Lake Kelly,59751,1.21
158,Katherine Contreras,1996-08-19,2021-11-28,Resigned,Personal,4,Assistant,Phyllismouth,89030,4.81
159,Michael Rodriguez,1967-05-15,2021-10-01,Resigned,N/A,7,Officer,Lake Brandonstad,137432,1.87
160,Jeffery Johnson,1990-03-02,2023-03-24,Resigned,Career Change,10,Manager,Lozanomouth,97658,2.16
161,Justin Smith,1989-06-29,2021-07-26,Active,Career Change,5,Manager,Robertsfort,101314,2.5
162,Matthew Barry,1972-05-05,2023-09-01,Resigned,N/A,2,Officer,Lake Isaac,76482,3.89
163,Amanda Meadows,1993-01-23,2024-07-12,Active,Career Change,10,Officer,East Paulashire,46933,4.83
164,Julie Sharp,1992-11-13,2020-06-11,Active,N/A,8,Manager,Emilymouth,42970,3.85
165,William Howard,1973-03-13,2022-08-06,Active,Career Change,8,Assistant,Floresburgh,86634,2.83
166,Kathy Bailey,1971-09-08,2020-04-07,Resigned,Personal,6,Assistant,Shirleyville,48728,1.64
167,Jeanette Brown,1993-08-16,2024-08-09,Active,N/A,3,Manager,West Trevor,69646,3.96
168,Heather Ball,1971-11-07,2022-12-16,Active,N/A,5,Officer,New Zacharyhaven,70982,3.59
169,Mike Buchanan,1988-11-04,2020-03-21,Active,Retirement,8,Clerk,Mitchellfurt,110195,3.13
170,Phillip Turner,1987-10-05,2022-11-10,Resigned,Personal,9,Manager,Katherineberg,94187,4.47
171,Thomas Brewer,1976-12-31,2022-03-26,Resigned,Retirement,1,Officer,Port Sierraborough,57609,2.77
172,John Hopkins,1987-03-04,2021-11-03,Resigned,Personal,8,Clerk,Stoneshire,74967,1.54
173,Tammy Rowe,1993-07-11,2020-03-25,Resigned,Personal,5,Officer,Coryport,142645,4.47
174,Beverly Nguyen,1967-10-06,2022-11-25,Active,Personal,5,Clerk,North Keith,65993,1.02
175,Hannah Williamson,1980-01-11,2023-09-10,Active,N/A,10,Assistant,Gonzalesburgh,93385,4.9
176,Andrew Christian,1979-08-12,2023-08-21,Resigned,N/A,4,Manager,Sheilaview,48306,2.19
177,Brent Rodriguez,1970-01-30,2020-06-26,Active,Retirement,10,Assistant,East Elizabethberg,60976,4.06
178,Karen Wolf,1964-07-03,2020-12-05,Active,N/A,7,Manager,East Andreahaven,72212,3.17
179,Dr. Morgan Young,1979-04-12,2024-09-15,Resigned,Retirement,9,Clerk,North Carmen,123983,3.46
180,Carrie Stafford,1991-12-06,2023-04-20,Active,Retirement,5,Assistant,New Amandaborough,57205,2.84
181,Jennifer Brown,1966-12-08,2022-06-11,Active,Retirement,4,Manager,South Marissatown,81641,4.98
182,Ashley Bradford,1964-11-01,2024-07-19,Active,Career Change,7,Officer,Jamesshire,31414,4.32
183,Phillip Obrien,1980-10-29,2023-12-11,Resigned,Career Change,9,Clerk,Dennishaven,75697,3.18
184,Tammy Morris,1967-09-10,2023-08-09,Resigned,N/A,6,Manager,Port Shawn,139749,4.15
185,Jamie Zhang,1969-01-13,2024-05-31,Active,N/A,9,Manager,Lake Jasmineville,148298,1.61
186,Christina King,1967-09-05,2022-03-19,Resigned,Retirement,1,Officer,Onealfort,33388,3.46
187,Dustin Harris,1972-06-11,2021-05-20,Resigned,N/A,6,Clerk,Christopherberg,128667,2.21
188,Robert Stokes,1993-08-31,2023-03-30,Active,Retirement,1,Clerk,Jessicaville,73508,3.25
189,Kevin Soto,1976-02-10,2023-12-22,Active,N/A,3,Assistant,Lindabury,59087,4.83
190,Christina Patrick,1983-01-19,2022-01-10,Resigned,N/A,5,Clerk,West Ericmouth,88004,4.03
191,Heather Russell,1966-10-18,2021-02-13,Active,N/A,8,Manager,Shawnhaven,114956,2.44
192,Andrea Lopez,1985-03-13,2020-02-17,Active,Personal,10,Assistant,Lake Haileyton,113856,2.7
193,Susan May,1987-08-14,2022-05-22,Active,N/A,9,Manager,Garciahaven,58880,3.33
194,Ronnie Hudson MD,1980-06-10,2022-05-02,Resigned,Personal,2,Officer,Jamesside,56224,1.08
195,Luke Hansen,1983-09-20,2020-09-22,Active,Retirement,10,Officer,Lake Courtneybury,126294,4.66
196,Austin Patterson,1972-08-25,2022-02-15,Active,Retirement,7,Manager,New Nicholas,83425,4.62
197,Benjamin Miller,1990-11-22,2024-08-13,Resigned,N/A,3,Clerk,Lake James,61259,4.45
198,Elizabeth Wilson,1996-05-25,2022-07-08,Resigned,Career Change,4,Assistant,Hernandezburgh,79604,4.97
199,Kyle Rivera,1972-02-24,2022-11-14,Active,Career Change,10,Assistant,Campbellborough,91473,2.58
